0,	unknown_celeba/SNGAN,	celeba_ProGAN,	0.3724,	85.86
1,	unknown_celeba/AttGAN,	celeba_MMDGAN,	0.4413,	77.42
2,	unknown_celeba/starGAN,	celeba_MMDGAN,	0.3009,	92.11
3,	unknown_Faces_HQ/styleGAN2,	Faces_HQ_styleGAN,	0.5595,	62.18
4,	unknown_Faces_HQ/styleGAN3_r,	real,	0.3933,	85.31
5,	unknown_Faces_HQ/styleGAN3_t,	Faces_HQ_styleGAN,	0.4019,	84.35
6,	unknown_celeba/DisBetaVAE,	celeba_VanillaVAE,	0.7317,	34.76
7,	unknown_celeba/InfoVAE,	celeba_VanillaVAE,	0.5544,	62.53
8,	unknown_celeba/glow,	Faces_HQ_styleGAN,	0.3304,	93.26
9,	unknown_celeba/ResFlow,	real,	0.4148,	82.36
10,	unknown_lsun_bedroom/LDM,	lsun_bedroom_ADM,	0.4846,	72.76
11,	unknown_lsun_bedroom/PNDM,	lsun_bedroom_DDPM,	0.4606,	76.26
12,	unknown_celeba/Styleformer,	lsun_bedroom_DDPM,	0.279,	95.74
13,	unknown_celeba/TransGAN,	celeba_VanillaVAE,	0.2695,	95.68
14,	unknown_ffhq/gansformer,	Faces_HQ_styleGAN,	0.4542,	76.96
15,	unknown_ffhq/StyleSwin,	real,	0.381,	87.08
16,	unknown_stable_diffusion_xl,	stable_diffusion_v21,	0.4283,	81.36
17,	unknown_midjourney_kaggle,	stable_diffusion_v21,	0.399,	85.18
18,	unknown_T2I/glide,	stable_diffusion_v21,	0.3578,	89.45
19,	unknown_T2I/dalle-mini,	stable_diffusion_v21,	0.3928,	86.75
20,	unknown_T2I/dalle_2,	stable_diffusion_v21,	0.4216,	82.65
21,	unknown_T2I/dalle_3,	stable_diffusion_v21,	0.387,	86.94
